FormID,EditorID,Name,Rarity,ChildFormID,ChildEditorID,ChildName,ChildRarity
"000057D6","ResInorgCommonAluminum","Aluminum","Common","000057D8","ResInorgUncommonBeryllium","Beryllium","Uncommon"
"000057D6","ResInorgCommonAluminum","Aluminum","Common","000057DB","ResInorgRareNeodymium","Neodymium","Rare"
"000057EA","ResInorgCommonArgon_G","Argon","Common","000057E7","ResInorgUncommonBenzene_G","Benzene","Uncommon"
"000057D5","ResInorgCommonChlorine_G","Chlorine","Common","000057D7","ResInorgUncommonChlorosilanes_L","Chlorosilanes","Uncommon"
"000057CF","ResInorgCommonCopper","Copper","Common","000057D0","ResInorgUncommonFluorine_G","Fluorine","Uncommon"
"000057CF","ResInorgCommonCopper","Copper","Common","000057D2","ResInorgRareGold","Gold","Rare"
"000057F5","ResInorgCommonHelium3_G","Helium-3","Special","","","",""
"000057C7","ResInorgCommonIron","Iron","Common","000057C8","ResInorgRareTantalum","Tantalum","Rare"
"000057C7","ResInorgCommonIron","Iron","Common","000057C9","ResInorgUncommonAlkanes_G","Alkanes","Uncommon"
"000057C7","ResInorgCommonIron","Iron","Common","000057CA","ResInorgExoticYtterbium","Ytterbium","Exotic"
"000057C1","ResInorgCommonLead","Lead","Common","000057C3","ResInorgUncommonSilver","Silver","Uncommon"
"000057C1","ResInorgCommonLead","Lead","Common","000057C4","ResInorgUncommonTungsten","Tungsten","Uncommon"
"000057CB","ResInorgCommonNickel","Nickel","Common","000057CE","ResInorgUncommonCobalt","Cobalt","Uncommon"
"000057CB","ResInorgCommonNickel","Nickel","Common","000057CD","ResInorgExoticPalladium","Palladium","Exotic"
"000057EB","ResInorgCommonUranium","Uranium","Common","000057EC","ResInorgUncommonIridium","Iridium","Uncommon"
"000057EB","ResInorgCommonUranium","Uranium","Common","000057ED","ResInorgRareVanadium","Vanadium","Rare"
"000057EB","ResInorgCommonUranium","Uranium","Common","000057EE","ResInorgExoticPlutonium","Plutonium","Exotic"
"000083EC","ResInorgCommonWater_L","Water","Everywhere","","","",""
"000057D3","ResInorgExoticAntimony","Antimony","Exotic","","","",""
"000057E0","ResInorgExoticCaesium_L","Caesium","Exotic","00005DF5","ResInorgUniqueAldumite","Aldumite","Unique"
"000057C2","ResInorgExoticDysprosium","Dysprosium","Exotic","","","",""
"000057E2","ResInorgExoticEuropium","Europium","Exotic","0004BA38","ResInorgUniqueIndicite","Indicite","Unique"
"000057D4","ResInorgExoticIonicLiquids_L","Ionic Liquids","Exotic","","","",""
"000057E9","ResInorgExoticNeon_G","Neon","Exotic","00005DF7","ResInorgUniqueVeryl_G","Veryl","Unique"
"000057CD","ResInorgExoticPalladium","Palladium","Exotic","00005DF6","ResInorgUniqueTasine_L","Tasine","Unique"
"000057EE","ResInorgExoticPlutonium","Plutonium","Exotic","00005DF8","ResInorgUniqueVytinium","Vytinium","Unique"
"000057DC","ResInorgExoticXenon_G","Xenon","Exotic","","","",""
"000057CA","ResInorgExoticYtterbium","Ytterbium","Exotic","00005DF1","ResInorgUniqueRothicite","Rothicite","Unique"
"000057E8","ResInorgRareCarboxylicAcids_L","Carboxylic Acids","Rare","000057E9","ResInorgExoticNeon_G","Neon","Exotic"
"000057D2","ResInorgRareGold","Gold","Rare","000057D3","ResInorgExoticAntimony","Antimony","Exotic"
"000057DA","ResInorgRareLithium","Lithium","Rare","000057DC","ResInorgExoticXenon_G","Xenon","Exotic"
"000057DA","ResInorgRareLithium","Lithium","Rare","000057E0","ResInorgExoticCaesium_L","Caesium","Exotic"
"0027C499","ResInorgRareMercury_L","Mercury","Rare","","","",""
"000057DB","ResInorgRareNeodymium","Neodymium","Rare","000057E2","ResInorgExoticEuropium","Europium","Exotic"
"000057CC","ResInorgRarePlatinum","Platinum","Rare","","","",""
"000057C8","ResInorgRareTantalum","Tantalum","Rare","","","",""
"000057D1","ResInorgRareTetrafluorides_G","Tetrafluorides","Rare","000057D4","ResInorgExoticIonicLiquids_L","Ionic Liquids","Exotic"
"000057C6","ResInorgRareTitanium","Titanium","Rare","000057C2","ResInorgExoticDysprosium","Dysprosium","Exotic"
"000057ED","ResInorgRareVanadium","Vanadium","Rare","","","",""
"000057C9","ResInorgUncommonAlkanes_G","Alkanes","Uncommon","","","",""
"000057E7","ResInorgUncommonBenzene_G","Benzene","Uncommon","000057E8","ResInorgRareCarboxylicAcids_L","Carboxylic Acids","Rare"
