SystemName,PlanetName,BodyType,PlanetFormID,PlanetEditorID,StarSystemID,ParentPlanetID,PlanetID,ResourceCategory,ResourceFormID,ResourceEditorID,ResourceName,Rarity
Al-Battani,Al-Battani I,Planet,0005DFF1,Al-BattaniIPlanetData,65147,0,1,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani I,Planet,0005DFF1,Al-BattaniIPlanetData,65147,0,1,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Al-Battani,Al-Battani I-a,Moon,0005DFF2,Al-BattaniI-aPlanetData,65147,1,10,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Al-Battani,Al-Battani I-a,Moon,0005DFF2,Al-BattaniI-aPlanetData,65147,1,10,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani I-a,Moon,0005DFF2,Al-BattaniI-aPlanetData,65147,1,10,Inorganic,000057D8,ResInorgUncommonBeryllium,Beryllium,Uncommon
Al-Battani,Al-Battani I-b,Moon,0005DFF3,Al-BattaniI-bPlanetData,65147,1,11,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Al-Battani,Al-Battani I-b,Moon,0005DFF3,Al-BattaniI-bPlanetData,65147,1,11,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani I-b,Moon,0005DFF3,Al-BattaniI-bPlanetData,65147,1,11,Inorganic,000057D8,ResInorgUncommonBeryllium,Beryllium,Uncommon
Al-Battani,Al-Battani I-c,Moon,0005DFF4,Al-BattaniI-cPlanetData,65147,1,12,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani I-c,Moon,0005DFF4,Al-BattaniI-cPlanetData,65147,1,12,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Al-Battani,Al-Battani I-c,Moon,0005DFF4,Al-BattaniI-cPlanetData,65147,1,12,Inorganic,000057C8,ResInorgRareTantalum,Tantalum,Rare
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Inorganic,000057CB,ResInorgCommonNickel,Nickel,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Inorganic,000057C2,ResInorgExoticDysprosium,Dysprosium,Exotic
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Inorganic,000057D4,ResInorgExoticIonicLiquids_L,IonicLiquids,Exotic
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,00077821,ResOrgCommonFiber,Fiber,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,0029F3FD,ResOrgCommonMetabolicAgent,MetabolicAgent,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,0022464B,ResOrgCommonSealantFaunaCarnivore,Sealant,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,0022462E,ResOrgCommonSealantFaunaHerbivore,Sealant,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,0022463E,ResOrgCommonToxinFaunaHerbivore,Toxin,Common
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,0022463F,ResOrgUncommonOrnamentalFaunaHerbivore,Ornamental,Uncommon
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,00077828,ResOrgRareAdhesive,Adhesive,Rare
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,00224637,ResOrgRareAdhesiveFaunaHerbivore,Adhesive,Rare
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,00224652,ResOrgRareAnalgesicFaunaCarnivore,Analgesic,Rare
Al-Battani,Al-Battani II,Planet,0005DFF5,Al-BattaniIIPlanetData,65147,0,2,Organic,00224633,ResOrgRareHallucinogenFaunaHerbivore,Hallucinogen,Rare
Al-Battani,Al-Battani III,Planet,0005DFF6,Al-BattaniIIIPlanetData,65147,0,3,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Al-Battani,Al-Battani III,Planet,0005DFF6,Al-BattaniIIIPlanetData,65147,0,3,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Al-Battani,Al-Battani III,Planet,0005DFF6,Al-BattaniIIIPlanetData,65147,0,3,Inorganic,000057CB,ResInorgCommonNickel,Nickel,Common
Al-Battani,Al-Battani III,Planet,0005DFF6,Al-BattaniIIIPlanetData,65147,0,3,Inorganic,000057D0,ResInorgUncommonFluorine_G,Fluorine,Uncommon
Al-Battani,Al-Battani III,Planet,0005DFF6,Al-BattaniIIIPlanetData,65147,0,3,Inorganic,000057CD,ResInorgExoticPalladium,Palladium,Exotic
Al-Battani,Al-Battani III-a,Moon,0005DFF7,Al-BattaniIII-aPlanetData,65147,3,13,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani III-a,Moon,0005DFF7,Al-BattaniIII-aPlanetData,65147,3,13,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Al-Battani,Al-Battani III-b,Moon,0005DFF8,Al-BattaniIII-bPlanetData,65147,3,14,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Al-Battani,Al-Battani III-b,Moon,0005DFF8,Al-BattaniIII-bPlanetData,65147,3,14,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani IV,Planet,0005DFF9,Al-BattaniIVPlanetData,65147,0,4,Inorganic,000057D5,ResInorgCommonChlorine_G,Chlorine,Common
Al-Battani,Al-Battani IV,Planet,0005DFF9,Al-BattaniIVPlanetData,65147,0,4,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Al-Battani,Al-Battani IV,Planet,0005DFF9,Al-BattaniIVPlanetData,65147,0,4,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Al-Battani,Al-Battani IV,Planet,0005DFF9,Al-BattaniIVPlanetData,65147,0,4,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Al-Battani,Al-Battani IV,Planet,0005DFF9,Al-BattaniIVPlanetData,65147,0,4,Inorganic,000057C9,ResInorgUncommonAlkanes_G,Alkanes,Uncommon
Al-Battani,Al-Battani IV,Planet,0005DFF9,Al-BattaniIVPlanetData,65147,0,4,Inorganic,000057D7,ResInorgUncommonChlorosilanes_L,Chlorosilanes,Uncommon
Al-Battani,Al-Battani IV-a,Moon,0005DFFB,Al-BattaniIV-aPlanetData,65147,4,16,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani IV-a,Moon,0005DFFB,Al-BattaniIV-aPlanetData,65147,4,16,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Al-Battani,Al-Battani V,Planet,0005DFFC,Al-BattaniVPlanetData,65147,0,5,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani V,Planet,0005DFFC,Al-BattaniVPlanetData,65147,0,5,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Al-Battani,Al-Battani V-a,Moon,0005DFFD,Al-BattaniV-aPlanetData,65147,5,17,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Al-Battani,Al-Battani V-a,Moon,0005DFFD,Al-BattaniV-aPlanetData,65147,5,17,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani V-a,Moon,0005DFFD,Al-BattaniV-aPlanetData,65147,5,17,Inorganic,000057D8,ResInorgUncommonBeryllium,Beryllium,Uncommon
Al-Battani,Al-Battani V-a,Moon,0005DFFD,Al-BattaniV-aPlanetData,65147,5,17,Inorganic,000057DB,ResInorgRareNeodymium,Neodymium,Rare
Al-Battani,Al-Battani VI-a,Moon,0005E000,Al-BattaniVI-aPlanetData,65147,6,20,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Al-Battani,Al-Battani VI-a,Moon,0005E000,Al-BattaniVI-aPlanetData,65147,6,20,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Al-Battani,Al-Battani VI-b,Moon,0005DFFF,Al-BattaniVI-bPlanetData,65147,6,19,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Al-Battani,Al-Battani VI-b,Moon,0005DFFF,Al-BattaniVI-bPlanetData,65147,6,19,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Al-Battani,Al-Battani VII-a,Moon,0005E002,Al-BattaniVII-aPlanetData,65147,7,21,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Al-Battani,Al-Battani VII-a,Moon,0005E002,Al-BattaniVII-aPlanetData,65147,7,21,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani VII-a,Moon,0005E002,Al-BattaniVII-aPlanetData,65147,7,21,Inorganic,000057D8,ResInorgUncommonBeryllium,Beryllium,Uncommon
Al-Battani,Al-Battani VIII,Planet,0005E003,Al-BattaniVIIIPlanetData,65147,0,8,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
